"symbol_code","text_codes","primary_symbol_label","all_labels"
"251","~Y(","accSagittalDoubleFlat5v11SUp","accSagittalDoubleFlat5v11SUp"
"252",")Y~","accSagittalDoubleFlat7v11CUp","accSagittalDoubleFlat7v11CUp"
"253","\Y","accSagittalDoubleFlat55CUp","accSagittalDoubleFlat55CUp"
"254","(Y(","accSagittalDoubleFlat17CUp","accSagittalDoubleFlat17CUp"
"255","=Y","accSagittalDoubleFlat7v11kUp","accSagittalDoubleFlat7v11kUp"
"256","/X~","accSagittalDoubleSharp23CDown","accSagittalDoubleSharp23CDown"
"257",")X)","accSagittalDoubleSharp5v19CDown","accSagittalDoubleSharp5v19CDown"
"258","X~","accSagittalDoubleSharp5v23SDown","accSagittalDoubleSharp5v23SDown"
"259","/|||~","accSagittalSharp5v23SUp","accSagittalSharp5v23SUp"
"260",")/|||","accSagittalSharp5v19CUp","accSagittalSharp5v19CUp"
"261","|||~","accSagittalSharp23CUp","accSagittalSharp23CUp"
"262","/||~","accSagittalSharp23CDown","accSagittalSharp23CDown"
"263",")||)","accSagittalSharp5v19CDown","accSagittalSharp5v19CDown"
"264","||~","accSagittalSharp5v23SDown","accSagittalSharp5v23SDown"
"265","/|~","accSagittal5v23SmallDiesisUp","accSagittal5v23SmallDiesisUp"
"266",")/|","accSagittal5v19CommaUp","accSagittal5v19CommaUp"
"267","|~","accSagittal23CommaUp","accSagittal23CommaUp"
"268","!~","accSagittal23CommaDown","accSagittal23CommaDown"
"269",")\!","accSagittal5v19CommaDown","accSagittal5v19CommaDown"
"270","\!~","accSagittal5v23SmallDiesisDown","accSagittal5v23SmallDiesisDown"
"271","!!~","accSagittalFlat5v23SUp","accSagittalFlat5v23SUp"
"272",")!!)","accSagittalFlat5v19CUp","accSagittalFlat5v19CUp"
"273","\!!~","accSagittalFlat23CUp","accSagittalFlat23CUp"
"274","!!!~","accSagittalFlat23CDown","accSagittalFlat23CDown"
"275",")\!!!","accSagittalFlat5v19CDown","accSagittalFlat5v19CDown"
"276","\!!!~","accSagittalFlat5v23SDown","accSagittalFlat5v23SDown"
"277","Y~","accSagittalDoubleFlat5v23SUp","accSagittalDoubleFlat5v23SUp"
"278",")Y)","accSagittalDoubleFlat5v19CUp","accSagittalDoubleFlat5v19CUp"
"279","\Y~","accSagittalDoubleFlat23CUp","accSagittalDoubleFlat23CUp"
"280","(X~","accSagittalDoubleSharp19sDown","accSagittalDoubleSharp19sDown"
"281",")=X","accSagittalDoubleSharp17kDown","accSagittalDoubleSharp17kDown"
"282","~X\","accSagittalDoubleSharp143CDown","accSagittalDoubleSharp143CDown"
"283","~X)","accSagittalDoubleSharp11v49CDown","accSagittalDoubleSharp11v49CDown"
"284","(X","accSagittalDoubleSharp19CDown","accSagittalDoubleSharp19CDown"
"285",")/X","accSagittalDoubleSharp7v19CDown","accSagittalDoubleSharp7v19CDown"
"286","~~X","accSagittalDoubleSharp49SDown","accSagittalDoubleSharp49SDown"
"287",")~X","accSagittalDoubleSharp23SDown","accSagittalDoubleSharp23SDown"
"288",")|||=","accSagittalSharp5v13LUp","accSagittalSharp5v13LUp"
"289","|||=","accSagittalSharp11v19LUp","accSagittalSharp11v19LUp"
"290","|||\)","accSagittalSharp49LUp","accSagittalSharp49LUp"
"291",")/|||\","accSagittalSharp5v49MUp","accSagittalSharp5v49MUp"
"292","(/|||","accSagittalSharp49MUp","accSagittalSharp49MUp"
"293","(|||~","accSagittalSharp11v19MUp","accSagittalSharp11v19MUp"
"294",")=|||","accSagittalSharp5v13MUp","accSagittalSharp5v13MUp"
"295","~|||\","accSagittalSharp23SUp","accSagittalSharp23SUp"
"296","~|||)","accSagittalSharp49SUp","accSagittalSharp49SUp"
"297",")|||)","accSagittalSharp7v19CUp","accSagittalSharp7v19CUp"
"298",")|||~","accSagittalSharp19CUp","accSagittalSharp19CUp"
"299","~~|||","accSagittalSharp11v49CUp","accSagittalSharp11v49CUp"
"300",")~|||","accSagittalSharp143CUp","accSagittalSharp143CUp"
"301","~|||","accSagittalSharp17kUp","accSagittalSharp17kUp"
"302",")|||","accSagittalSharp19sUp","accSagittalSharp19sUp"
"303","(||~","accSagittalSharp19sDown","accSagittalSharp19sDown"
"304",")=||","accSagittalSharp17kDown","accSagittalSharp17kDown"
"305","~||\","accSagittalSharp143CDown","accSagittalSharp143CDown"
"306","~||)","accSagittalSharp11v49CDown","accSagittalSharp11v49CDown"
"307","(||","accSagittalSharp19CDown","accSagittalSharp19CDown"
"308",")/||","accSagittalSharp7v19CDown","accSagittalSharp7v19CDown"
"309","~~||","accSagittalSharp49SDown","accSagittalSharp49SDown"
"310",")~||","accSagittalSharp23SDown","accSagittalSharp23SDown"
"311",")|=","accSagittal5v13LargeDiesisUp","accSagittal5v13LargeDiesisUp"
"312","|\\","accSagittal11v19LargeDiesisUp","accSagittal11v19LargeDiesisUp"
"313","|\)","accSagittal49LargeDiesisUp","accSagittal49LargeDiesisUp"
"314",")/|\","accSagittal5v49MediumDiesisUp","accSagittal5v49MediumDiesisUp"
"315","(/|","accSagittal49MediumDiesisUp","accSagittal49MediumDiesisUp"
"316","(|~","accSagittal11v19MediumDiesisUp","accSagittal11v19MediumDiesisUp"
"317",")=|","accSagittal5v13MediumDiesisUp","accSagittal5v13MediumDiesisUp"
"318","~|\","accSagittal23SmallDiesisUp","accSagittal23SmallDiesisUp"
"319","~|)","accSagittal49SmallDiesisUp","accSagittal49SmallDiesisUp"
"320",")|)","accSagittal7v19CommaUp","accSagittal7v19CommaUp"
"321",")|~","accSagittal19CommaUp","accSagittal19CommaUp"
"322","~~|","accSagittal11v49CommaUp","accSagittal11v49CommaUp"
"323",")~|","accSagittal143CommaUp","accSagittal143CommaUp"
"324","~|","accSagittal17KleismaUp","accSagittal17KleismaUp"
"325",")|","accSagittal19SchismaUp","accSagittal19SchismaUp"
"326",")!","accSagittal19SchismaDown","accSagittal19SchismaDown"
"327","~!","accSagittal17KleismaDown","accSagittal17KleismaDown"
"328",")~!","accSagittal143CommaDown","accSagittal143CommaDown"
"329","~~!","accSagittal11v49CommaDown","accSagittal11v49CommaDown"
"330",")!~","accSagittal19CommaDown","accSagittal19CommaDown"
"331",")!)","accSagittal7v19CommaDown","accSagittal7v19CommaDown"
"332","~!)","accSagittal49SmallDiesisDown","accSagittal49SmallDiesisDown"
"333","~!/","accSagittal23SmallDiesisDown","accSagittal23SmallDiesisDown"
"334",")=!","accSagittal5v13MediumDiesisDown","accSagittal5v13MediumDiesisDown"
"335","(!~","accSagittal11v19MediumDiesisDown","accSagittal11v19MediumDiesisDown"
"336","(\!","accSagittal49MediumDiesisDown","accSagittal49MediumDiesisDown"
"337",")\!/","accSagittal5v49MediumDiesisDown","accSagittal5v49MediumDiesisDown"
"338","!/)","accSagittal49LargeDiesisDown","accSagittal49LargeDiesisDown"
"339","!=","accSagittal11v19LargeDiesisDown","accSagittal11v19LargeDiesisDown"
"340",")!=","accSagittal5v13LargeDiesisDown","accSagittal5v13LargeDiesisDown"
"341",")~!!","accSagittalFlat23SUp","accSagittalFlat23SUp"
"342","~~!!","accSagittalFlat49SUp","accSagittalFlat49SUp"
"343",")\!!","accSagittalFlat7v19CUp","accSagittalFlat7v19CUp"
"344","(!!","accSagittalFlat19CUp","accSagittalFlat19CUp"
"345","~!!)","accSagittalFlat11v49CUp","accSagittalFlat11v49CUp"
"346","~!!/","accSagittalFlat143CUp","accSagittalFlat143CUp"
"347",")=!!","accSagittalFlat17kUp","accSagittalFlat17kUp"
"348","(!!~","accSagittalFlat19sUp","accSagittalFlat19sUp"
"349",")!!!","accSagittalFlat19sDown","accSagittalFlat19sDown"
"350","~!!!","accSagittalFlat17kDown","accSagittalFlat17kDown"
"351",")~!!!","accSagittalFlat143CDown","accSagittalFlat143CDown"
"352","~~!!!","accSagittalFlat11v49CDown","accSagittalFlat11v49CDown"
"353",")!!!~","accSagittalFlat19CDown","accSagittalFlat19CDown"
"354",")!!!)","accSagittalFlat7v19CDown","accSagittalFlat7v19CDown"
"355","~!!!)","accSagittalFlat49SDown","accSagittalFlat49SDown"
"356","~!!!/","accSagittalFlat23SDown","accSagittalFlat23SDown"
"357",")=!!!","accSagittalFlat5v13MDown","accSagittalFlat5v13MDown"
"358","(!!!~","accSagittalFlat11v19MDown","accSagittalFlat11v19MDown"
"359","(\!!!","accSagittalFlat49MDown","accSagittalFlat49MDown"
"360",")\!!!/","accSagittalFlat5v49MDown","accSagittalFlat5v49MDown"
"361","!!!/)","accSagittalFlat49LDown","accSagittalFlat49LDown"
"362","!!!=","accSagittalFlat11v19LDown","accSagittalFlat11v19LDown"
"363",")!!!=","accSagittalFlat5v13LDown","accSagittalFlat5v13LDown"
"364",")~Y","accSagittalDoubleFlat23SUp","accSagittalDoubleFlat23SUp"
"365","~~Y","accSagittalDoubleFlat49SUp","accSagittalDoubleFlat49SUp"
"366",")\Y","accSagittalDoubleFlat7v19CUp","accSagittalDoubleFlat7v19CUp"
"367","(Y","accSagittalDoubleFlat19CUp","accSagittalDoubleFlat19CUp"
"368","~Y)","accSagittalDoubleFlat11v49CUp","accSagittalDoubleFlat11v49CUp"
"369","~Y/","accSagittalDoubleFlat143CUp","accSagittalDoubleFlat143CUp"
"370",")=Y","accSagittalDoubleFlat17kUp","accSagittalDoubleFlat17kUp"
"371","(Y~","accSagittalDoubleFlat19sUp","accSagittalDoubleFlat19sUp"
"372","|","accSagittalShaftUp","accSagittalShaftUp"
"373","!","accSagittalShaftDown","accSagittalShaftDown"
